Id Marker,3d pos x,3d pos y,3d pos z,corner0_x,corner0_y,corner0_z,corner1_x,corner1_y,corner1_z,corner2_x,corner2_y,corner2_z,corner3_x,corner3_y,corner3_z
200,11,11,0,11,18,7,11,18,-7,11,4,-7,11,4,7
201,0,23,0,-7,23,7,-7,23,-7,7,23,-7,7,23,7
202,0,11.5,12,-7,18.5,12,7,18.5,12,7,4.5,12,-7,4.5,12
203,0,11.5,-12,7,18.5,-12,-7,18.5,-12,-7,4.5,-12,7,4.5,-12
204,11,11,0,11,18,7,11,18,-7,11,4,-7,11,4,7
205,0,23,0,-7,23,7,-7,23,-7,7,23,-7,7,23,7
206,0,11.5,12,-7,18.5,12,7,18.5,12,7,4.5,12,-7,4.5,12
207,0,11.5,-12,7,18.5,-12,-7,18.5,-12,-7,4.5,-12,7,4.5,-12
208,11,11,0,11,18,7,11,18,-7,11,4,-7,11,4,7
209,0,23,0,-7,23,7,-7,23,-7,7,23,-7,7,23,7
210,0,11.5,12,-7,18.5,12,7,18.5,12,7,4.5,12,-7,4.5,12
211,0,11.5,-12,7,18.5,-12,-7,18.5,-12,-7,4.5,-12,7,4.5,-12
212,11,11,0,11,18,7,11,18,-7,11,4,-7,11,4,7
213,0,23,0,-7,23,7,-7,23,-7,7,23,-7,7,23,7
214,0,11.5,12,-7,18.5,12,7,18.5,12,7,4.5,12,-7,4.5,12
215,0,11.5,-12,7,18.5,-12,-7,18.5,-12,-7,4.5,-12,7,4.5,-12
