Id Marker,3d corner x T-L,3d corner y T-L,3d corner z T-L,3d corner x T-R,3d corner y T-R,3d corner z T-R,3d corner x B-R,3d corner y B-R,3d corner z B-R,3d corner x B-L,3d corner y B-L,3d corner z B-L
200,-11.0,-4.0,-7.0,-11.0,-4.0,7.0,-11.0,-18.0,7.0,-11.0,-18.0,-7.0
201,-7.0,-23.0,-7.0,-7.0,-23.0,7.0,7.0,-23.0,7.0,7.0,-23.0,-7.0
202,7.0,-4.5,-12.0,-7.0,-4.5,-12.0,-7.0,-18.5,-12.0,7.0,-18.5,-12.0
203,-7.0,-4.5,12.0,7.0,-4.5,12.0,7.0,-18.5,12.0,-7.0,-18.5,12.0
204,-11.0,-4.0,-7.0,-11.0,-4.0,7.0,-11.0,-18.0,7.0,-11.0,-18.0,-7.0
205,-7.0,-23.0,-7.0,-7.0,-23.0,7.0,7.0,-23.0,7.0,7.0,-23.0,-7.0
206,7.0,-4.5,-12.0,-7.0,-4.5,-12.0,-7.0,-18.5,-12.0,7.0,-18.5,-12.0
207,-7.0,-4.5,12.0,7.0,-4.5,12.0,7.0,-18.5,12.0,-7.0,-18.5,12.0
208,-11.0,-4.0,-7.0,-11.0,-4.0,7.0,-11.0,-18.0,7.0,-11.0,-18.0,-7.0
209,-7.0,-23.0,-7.0,-7.0,-23.0,7.0,7.0,-23.0,7.0,7.0,-23.0,-7.0
210,7.0,-4.5,-12.0,-7.0,-4.5,-12.0,-7.0,-18.5,-12.0,7.0,-18.5,-12.0
211,-7.0,-4.5,12.0,7.0,-4.5,12.0,7.0,-18.5,12.0,-7.0,-18.5,12.0
212,-11.0,-4.0,-7.0,-11.0,-4.0,7.0,-11.0,-18.0,7.0,-11.0,-18.0,-7.0
213,-7.0,-23.0,-7.0,-7.0,-23.0,7.0,7.0,-23.0,7.0,7.0,-23.0,-7.0
214,7.0,-4.5,-12.0,-7.0,-4.5,-12.0,-7.0,-18.5,-12.0,7.0,-18.5,-12.0
215,-7.0,-4.5,12.0,7.0,-4.5,12.0,7.0,-18.5,12.0,-7.0,-18.5,12.0
